satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
32688,58.6561,81,.3140 000634,357.0640,04.8707,6.418058,175,06057FN,08090.4,978562,.0201035,10668-,36900-3 0,999
32690,06057FP,08,074.01946115,.07106176,11652-4,16553-2,999,056.0350,285.2041,0040221,063.5628,308.3385,16.26602903,219
32691,58.5994,42,.0418 021835,071.4626,02.2073,5.776229,443,06057FR,08071.9,550897,.1373920,11473-,27356-2 0,999
32693,06057FS,08,073.00073993,.10460070,11075-4,66762-3,999,058.5985,290.7831,0006496,351.1414,009.4531,16.41175272,182
32694,58.6006,92,.6212 005415,037.9139,22.6208,6.107326,162,06057FU,08112.3,848677,.1275388,99500-,83737-2 0,999
32696,06057FV,08,096.68551248,.58780314,11866-4,11037-1,999,057.4985,227.8999,0069165,042.5632,029.3379,16.24439449,562
32697,57.6605,55,.9362 011943,081.6701,82.9306,5.969347,0450,06057FX,08107.6,066474,.0849271,90268-,92685-2 0,999
32699,08009A,08,086.89898012,+.00197158,+00000-0,+12503-2,999,051.6417,080.6148,0003711,358.1477,082.4298,15.75382422,00248
32700,58.2359,88,.9695 007434,136.8206,49.1363,6.218695,317,06057FZ,08070.9,184188,.1124924,11327-,40447-2 0,999
32702,06057GA,08,073.96452971,.06122112,97868-5,84045-2,999,058.3156,303.3738,0252356,046.5507,317.0439,15.66636491,266
32703,58.6966,90,.2016 003185,112.9155,50.1214,6.332954,170,06057GC,08073.9,579826,.0690909,93560-,93133-2 0,999
32705,77093E,24,258.58148987,.00001131,00000-0,00000-0,999,46.5994,149.4960,6800534,295.3237,0.4142,0.25810356,1015
32708,23.2401,27,.9191 003357,358.2358,2.3682,1.002754,6193,08011B,24283.3,100446,.0000632,00000-,39814-1 0,999
32710,06026C,08,110.83795260,.04328852,42917-1,87402-2,999,065.0274,280.1531,0021909,294.6022,065.3750,16.04510668,566
32711,54.4496,74,.4789 018960,240.1196,18.0557,2.005713,2141,08012B,19242.8,418878,.1512006,66684-,26635-3 0,999
32713,08012C,08,251.70258091,.12108781,-10268-5,21461-3,999,033.1349,000.6910,0033894,273.2257,086.7703,16.43815372,2683
32714,58.6466,73,.2511 008022,083.6252,25.3350,6.146005,320,06026D,08123.6,014406,.0218992,33722-,46863-2 0,999
32716,06026E,08,110.85739903,.06021903,71802-5,37714-2,999,064.9917,279.6651,0017350,260.2113,097.3510,16.17068646,566
32717,65.0513,18,.3926 000692,340.8275,20.6922,6.198111,397,06026G,08253.2,200390,.1188928,74732-,92581-3 0,999
32719,06026H,08,113.50545630,.22926500,77013-5,11834-2,999,065.0615,268.4510,0016858,301.6090,067.5258,16.40818975,611
32720,65.1936,24,.3212 001404,226.3230,33.7475,6.015201,2941,06026K,10069.2,861916,.1451347,74244-,18380-2 0,999
32722,06026L,08,129.67137315,.07845326,30945+0,10796-1,999,065.0402,217.2267,0019278,315.0556,046.3544,16.14068168,848
32723,65.0085,40,.3197 002240,299.5038,60.6009,5.995302,741,06026N,08121.9,912976,.0573265,84878-,98401-2 0,999
32725,06026P,08,078.90178488,.08537523,00000-0,48186-1,999,065.1534,031.1977,0036155,206.7534,153.1794,15.73017682,72
32726,65.1639,59,.9126 002318,219.2544,41.1113,6.169226,218,06026R,08085.8,301762,.8114419,73375-,12345-1 0,999
32728,06026S,08,081.21703334,.99999999,68598-5,94936-1,999,064.9743,022.9113,0028800,190.0729,173.7095,16.20017341,97
32729,0.0123,81,.2902 000068,25.3915,08.4812,1.002700,6077,08013B,24283.6,885986,.0000742,00000-,12046-2 0,999
32731,06057GE,08,085.01848340,.00973524,10550-4,48401-3,999,058.4236,236.9675,0030512,046.4140,314.0351,16.19074114,162
32732,64.9842,76,.1854 001105,287.3669,75.1580,6.079864,1033,06026U,08096.0,832473,.1354130,71676-,96215-2 0,999
32734,06026V,08,261.85530679,.07284468,15739+0,92249-2,999,065.8213,159.9012,0011850,200.3150,165.1472,16.12826770,2883
32735,65.0216,55,.7757 002710,249.1258,32.2683,5.925881,2329,06026X,08132.5,377322,.1306616,73239-,49059-2 0,999
32737,06026Y,08,168.18193625,.00185873,00000-0,12695-2,999,065.1581,090.4061,0066696,170.0135,190.2896,15.71278269,1419
32738,65.0403,07,.3321 001839,275.2905,84.8600,6.047346,408,06026AA,08103.9,790146,.0725915,17950+,98311-2 0,999
32740,06026AB,08,103.91346997,.07201234,20266+0,10910-1,999,065.0302,303.8415,0016891,278.0616,082.1988,16.11595580,467
32741,65.2278,32,.2250 001601,320.7811,39.2142,6.339586,8339,06026AD,08105.9,170457,.1232587,48376+,45945-1 0,999
32743,06026AE,08,109.83913096,.05516897,46387-1,14827-1,999,065.0340,285.5549,0038038,277.9918,081.8639,15.97015703,547
32744,64.9818,29,.3747 002601,296.5970,63.4488,6.036769,793,06026AG,09006.8,785780,.0541033,72191-,71083-2 0,999
32746,06026AH,08,107.60465460,.04454367,38287-1,99250-2,999,065.0283,291.5361,0019437,280.3715,082.7444,16.02214533,488
32747,64.9896,18,.3265 002753,266.2378,93.5482,6.202406,375,06026AK,08119.6,293486,.0562551,49610-,17065-1 0,999
32749,06057GF,08,086.99840045,.07457043,10921-4,12833-2,999,058.3072,229.9186,0026598,079.0440,281.6584,16.31137541,388
32751,98.1061,07,.1410 000829,294.6705,65.5782,6.523864,7277,06026AL,08152.3,328547,.0205313,30986-,35267-2 0,999
32753,06026AM,08,114.53573345,.03369971,15017-1,99456-2,999,064.9606,268.2199,0021389,297.7313,063.8243,15.95615903,571
32754,65.0330,00,.8446 001746,278.7706,85.7692,6.071279,453,06057GG,08090.8,374717,.1053327,99487-,12369-1 0,999
32756,08015A,08,297.50234818,+.00009543,+00000-0,+74623-4,999,051.6428,078.5377,0003240,258.9575,175.7646,15.72420179,56872
32757,51.5806,01,.0414 000207,036.5047,23.8512,6.460843,41,06026AP,08118.7,299261,.0295688,62652-,12382-1 0,999
